AutoRange,Off
Start Time,2024-12-2 17:56:21.439830
Firmware Version,K-01.07.03-01.00-01.10-01.05
ResolutionEnum,FAST
Serial Number,CN63230110
Stop Time,2024-12-2 18:02:25.170329
Model,EDU34450A
Range(ADC),3.0
TriggerSource,Immediate
Address,USB0::0x2A8D::0x8E01::CN63230110::0::INSTR
TriggerDelay,0.0
Sample Count,363

Time Stamp(s),Records,DC Current(ADC),
2024-12-2 17:56:21.439830,1,0.0138295398,
2024-12-2 17:56:22.438072,2,0.0266310355,
2024-12-2 17:56:23.435487,3,0.0233498332,
2024-12-2 17:56:24.436195,4,0.0234560116,
2024-12-2 17:56:25.457758,5,0.0232872967,
2024-12-2 17:56:26.455353,6,0.0234631447,
2024-12-2 17:56:27.477549,7,0.027419627,
2024-12-2 17:56:28.474573,8,0.0233497362,
2024-12-2 17:56:29.577563,9,0.0231345344,
2024-12-2 17:56:30.581620,10,0.0266334405,
2024-12-2 17:56:31.569967,11,0.0326065193,
2024-12-2 17:56:32.592782,12,0.0287495259,
2024-12-2 17:56:33.596584,13,0.02869442,
2024-12-2 17:56:34.515181,14,0.0137385062,
2024-12-2 17:56:35.497410,15,0.0137469366,
2024-12-2 17:56:36.512669,16,0.017472723,
2024-12-2 17:56:37.519724,17,0.0137447922,
2024-12-2 17:56:38.508484,18,0.0147184706,
2024-12-2 17:56:39.517496,19,0.0137445084,
2024-12-2 17:56:40.536350,20,0.0137964601,
2024-12-2 17:56:41.529403,21,0.0173803981,
2024-12-2 17:56:42.537016,22,0.0137355112,
2024-12-2 17:56:43.657099,23,0.0137515364,
2024-12-2 17:56:44.658018,24,0.0177633548,
2024-12-2 17:56:45.659025,25,0.0193486088,
2024-12-2 17:56:46.659266,26,0.0137530551,
2024-12-2 17:56:47.660448,27,0.0137402132,
2024-12-2 17:56:48.580267,28,0.0137504485,
2024-12-2 17:56:49.576846,29,0.0137316553,
2024-12-2 17:56:50.574890,30,0.0137816613,
2024-12-2 17:56:51.570758,31,0.0137409641,
2024-12-2 17:56:52.569708,32,0.0163463955,
2024-12-2 17:56:53.575097,33,0.0137409504,
2024-12-2 17:56:54.588145,34,0.0137349855,
2024-12-2 17:56:55.593412,35,0.0137635671,
2024-12-2 17:56:56.656217,36,0.025906484,
2024-12-2 17:56:57.686193,37,0.0137358654,
2024-12-2 17:56:58.692763,38,0.0137331598,
2024-12-2 17:56:59.691459,39,0.0137187981,
2024-12-2 17:57:00.688727,40,0.0137555031,
2024-12-2 17:57:01.656066,41,0.0137793517,
2024-12-2 17:57:02.596013,42,0.0186559194,
2024-12-2 17:57:03.594042,43,0.013714327,
2024-12-2 17:57:04.614480,44,0.0137520533,
2024-12-2 17:57:05.613040,45,0.0170824367,
2024-12-2 17:57:06.613344,46,0.0219842757,
2024-12-2 17:57:07.612714,47,0.0137582262,
2024-12-2 17:57:08.614898,48,0.013748666,
2024-12-2 17:57:09.629853,49,0.0137203042,
2024-12-2 17:57:10.732784,50,0.0221096912,
2024-12-2 17:57:11.729685,51,0.0137132942,
2024-12-2 17:57:12.730536,52,0.0137196287,
2024-12-2 17:57:13.737050,53,0.0137228781,
2024-12-2 17:57:14.754381,54,0.0164405181,
2024-12-2 17:57:15.656714,55,0.0168346766,
2024-12-2 17:57:16.653315,56,0.0167934659,
2024-12-2 17:57:17.645753,57,0.0137174025,
2024-12-2 17:57:18.656686,58,0.0137189133,
2024-12-2 17:57:19.650873,59,0.013707623,
2024-12-2 17:57:20.668470,60,0.0167068668,
2024-12-2 17:57:21.675203,61,0.0137548374,
2024-12-2 17:57:22.675815,62,0.0137656293,
2024-12-2 17:57:23.750232,63,0.0137534969,
2024-12-2 17:57:24.797616,64,0.016531283,
2024-12-2 17:57:25.806740,65,0.0137549999,
2024-12-2 17:57:26.810012,66,0.0137349036,
2024-12-2 17:57:27.809839,67,0.0137342098,
2024-12-2 17:57:28.806444,68,0.0163198835,
2024-12-2 17:57:29.714037,69,0.013744142,
2024-12-2 17:57:30.727290,70,0.0163883213,
2024-12-2 17:57:31.726988,71,0.0137487365,
2024-12-2 17:57:32.729552,72,0.0137303646,
2024-12-2 17:57:33.748620,73,0.0137468306,
2024-12-2 17:57:34.766155,74,0.024699113,
2024-12-2 17:57:35.765815,75,0.0137387447,
2024-12-2 17:57:36.772126,76,0.0137409658,
2024-12-2 17:57:37.869261,77,0.0161088627,
2024-12-2 17:57:38.871201,78,0.01622486,
2024-12-2 17:57:39.884906,79,0.0137195136,
2024-12-2 17:57:40.890012,80,0.0137398531,
2024-12-2 17:57:41.885391,81,0.0137578696,
2024-12-2 17:57:42.795308,82,0.0137579774,
2024-12-2 17:57:43.790575,83,0.0137354234,
2024-12-2 17:57:44.790038,84,0.0137506699,
2024-12-2 17:57:45.813754,85,0.0137401244,
2024-12-2 17:57:46.814047,86,0.0137502313,
2024-12-2 17:57:47.807439,87,0.0137441641,
2024-12-2 17:57:48.814759,88,0.0137409875,
2024-12-2 17:57:49.812498,89,0.0137294464,
2024-12-2 17:57:50.852986,90,0.0137474214,
2024-12-2 17:57:51.927116,91,0.0137281463,
2024-12-2 17:57:52.931025,92,0.013732493,
2024-12-2 17:57:53.930457,93,0.0184802005,
2024-12-2 17:57:54.929966,94,0.0137497599,
2024-12-2 17:57:55.931102,95,0.0137386188,
2024-12-2 17:57:56.822930,96,0.0137515412,
2024-12-2 17:57:57.832214,97,0.0137433313,
2024-12-2 17:57:58.832657,98,0.0137166724,
2024-12-2 17:57:59.829280,99,0.0194306095,
2024-12-2 17:58:00.833886,100,0.0175545376,
2024-12-2 17:58:01.845520,101,0.0137138338,
2024-12-2 17:58:02.846020,102,0.0137283338,
2024-12-2 17:58:03.848144,103,0.0155254481,
2024-12-2 17:58:04.950774,104,0.0137329275,
2024-12-2 17:58:05.966927,105,0.0144069309,
2024-12-2 17:58:06.945424,106,0.0137327498,
2024-12-2 17:58:07.947904,107,0.0155201188,
2024-12-2 17:58:08.961828,108,0.0194605403,
2024-12-2 17:58:09.907019,109,0.0137510161,
2024-12-2 17:58:10.866009,110,0.0137337118,
2024-12-2 17:58:11.864748,111,0.0137382912,
2024-12-2 17:58:12.886504,112,0.0137423185,
2024-12-2 17:58:13.886653,113,0.0152925528,
2024-12-2 17:58:14.886512,114,0.0152913117,
2024-12-2 17:58:15.886463,115,0.0137211297,
2024-12-2 17:58:16.902318,116,0.0137413382,
2024-12-2 17:58:17.905782,117,0.0137323679,
2024-12-2 17:58:19.002685,118,0.0137787424,
2024-12-2 17:58:20.008111,119,0.0137706818,
2024-12-2 17:58:21.008156,120,0.0229001718,
2024-12-2 17:58:22.006297,121,0.023359697,
2024-12-2 17:58:23.029518,122,0.0241383287,
2024-12-2 17:58:23.924165,123,0.024062684,
2024-12-2 17:58:24.928632,124,0.0281139987,
2024-12-2 17:58:25.942493,125,0.0232211691,
2024-12-2 17:58:26.948170,126,0.0229300038,
2024-12-2 17:58:27.947614,127,0.0229250755,
2024-12-2 17:58:28.965179,128,0.0240057397,
2024-12-2 17:58:29.944562,129,0.0296314237,
2024-12-2 17:58:30.968442,130,0.0309360476,
2024-12-2 17:58:32.073415,131,0.0293390096,
2024-12-2 17:58:33.059892,132,0.0316853827,
2024-12-2 17:58:34.068645,133,0.0294999186,
2024-12-2 17:58:35.088770,134,0.0286821189,
2024-12-2 17:58:36.079092,135,0.0289642434,
2024-12-2 17:58:37.022835,136,0.0286747246,
2024-12-2 17:58:37.999440,137,0.0290246114,
2024-12-2 17:58:38.984991,138,0.027143487,
2024-12-2 17:58:40.002119,139,0.029275211,
2024-12-2 17:58:41.003798,140,0.0286974715,
2024-12-2 17:58:42.023336,141,0.0779334025,
2024-12-2 17:58:43.019509,142,0.163386604,
2024-12-2 17:58:44.025592,143,0.104391183,
2024-12-2 17:58:45.025697,144,0.103849769,
2024-12-2 17:58:46.120821,145,0.103606964,
2024-12-2 17:58:47.120421,146,0.102755748,
2024-12-2 17:58:48.120665,147,0.103969094,
2024-12-2 17:58:49.121001,148,0.0990844811,
2024-12-2 17:58:50.149183,149,0.101442264,
2024-12-2 17:58:51.043705,150,0.0952433816,
2024-12-2 17:58:52.063385,151,0.104631673,
2024-12-2 17:58:53.063633,152,0.0394841215,
2024-12-2 17:58:54.061848,153,0.0293138995,
2024-12-2 17:58:55.067632,154,0.0286968051,
2024-12-2 17:58:56.085513,155,0.0173638814,
2024-12-2 17:58:57.085229,156,0.0137655347,
2024-12-2 17:58:58.100501,157,0.0140249615,
2024-12-2 17:58:59.189335,158,0.0137409484,
2024-12-2 17:59:00.201830,159,0.0137432259,
2024-12-2 17:59:01.222465,160,0.028776628,
2024-12-2 17:59:02.224117,161,0.0140777078,
2024-12-2 17:59:03.222480,162,0.0137403801,
2024-12-2 17:59:04.197202,163,0.0137300754,
2024-12-2 17:59:05.149544,164,0.0137670759,
2024-12-2 17:59:06.140984,165,0.0140523998,
2024-12-2 17:59:07.140184,166,0.0187360186,
2024-12-2 17:59:08.142812,167,0.0141678885,
2024-12-2 17:59:09.157669,168,0.013767832,
2024-12-2 17:59:10.158873,169,0.0137631532,
2024-12-2 17:59:11.161210,170,0.0137570782,
2024-12-2 17:59:12.162276,171,0.0188998632,
2024-12-2 17:59:13.261959,172,0.0137446803,
2024-12-2 17:59:14.282876,173,0.0137551331,
2024-12-2 17:59:15.283032,174,0.0207939561,
2024-12-2 17:59:16.278513,175,0.0183831035,
2024-12-2 17:59:17.286386,176,0.0137261221,
2024-12-2 17:59:18.179535,177,0.013752078,
2024-12-2 17:59:19.181200,178,0.0137247214,
2024-12-2 17:59:20.199762,179,0.0137453549,
2024-12-2 17:59:21.202667,180,0.0192984435,
2024-12-2 17:59:22.220689,181,0.0143295202,
2024-12-2 17:59:23.220116,182,0.0137223012,
2024-12-2 17:59:24.219818,183,0.0137494599,
2024-12-2 17:59:25.238944,184,0.013723233,
2024-12-2 17:59:26.302802,185,0.0190278743,
2024-12-2 17:59:27.339059,186,0.0137331971,
2024-12-2 17:59:28.337351,187,0.0137554231,
2024-12-2 17:59:29.341346,188,0.0142254866,
2024-12-2 17:59:30.338537,189,0.0137602951,
2024-12-2 17:59:31.325452,190,0.0137557898,
2024-12-2 17:59:32.259989,191,0.0137265997,
2024-12-2 17:59:33.258821,192,0.0137393728,
2024-12-2 17:59:34.263437,193,0.0137189183,
2024-12-2 17:59:35.285756,194,0.015523022,
2024-12-2 17:59:36.275072,195,0.0160545523,
2024-12-2 17:59:37.273011,196,0.013831146,
2024-12-2 17:59:38.279621,197,0.0137329414,
2024-12-2 17:59:39.282207,198,0.013758806,
2024-12-2 17:59:40.379763,199,0.0160718096,
2024-12-2 17:59:41.393585,200,0.0137402118,
2024-12-2 17:59:42.403911,201,0.0137357589,
2024-12-2 17:59:43.393827,202,0.0137321415,
2024-12-2 17:59:44.403041,203,0.0137380012,
2024-12-2 17:59:45.317195,204,0.0184418337,
2024-12-2 17:59:46.317180,205,0.0173821007,
2024-12-2 17:59:47.320571,206,0.0137417904,
2024-12-2 17:59:48.319126,207,0.0137450217,
2024-12-2 17:59:49.316313,208,0.0137451521,
2024-12-2 17:59:50.316630,209,0.0137613463,
2024-12-2 17:59:51.316832,210,0.0153524057,
2024-12-2 17:59:52.334833,211,0.0137353749,
2024-12-2 17:59:53.358100,212,0.0137488558,
2024-12-2 17:59:54.439250,213,0.015309925,
2024-12-2 17:59:55.457289,214,0.0137345698,
2024-12-2 17:59:56.480307,215,0.0137464498,
2024-12-2 17:59:57.474931,216,0.0137515235,
2024-12-2 17:59:58.476719,217,0.0137648026,
2024-12-2 17:59:59.372811,218,0.0137354464,
2024-12-2 18:00:00.398356,219,0.0137426745,
2024-12-2 18:00:01.376623,220,0.0148725339,
2024-12-2 18:00:02.383859,221,0.0137529152,
2024-12-2 18:00:03.378368,222,0.0137527192,
2024-12-2 18:00:04.397130,223,0.0138982731,
2024-12-2 18:00:05.393715,224,0.02053808,
2024-12-2 18:00:06.398827,225,0.0137396546,
2024-12-2 18:00:07.497331,226,0.0137702921,
2024-12-2 18:00:08.496992,227,0.0179646445,
2024-12-2 18:00:09.494544,228,0.0137542284,
2024-12-2 18:00:10.494439,229,0.0137479949,
2024-12-2 18:00:11.500411,230,0.0137532621,
2024-12-2 18:00:12.432651,231,0.013738047,
2024-12-2 18:00:13.412479,232,0.0137287585,
2024-12-2 18:00:14.419030,233,0.0184485536,
2024-12-2 18:00:15.417950,234,0.0208904779,
2024-12-2 18:00:16.421442,235,0.0137336883,
2024-12-2 18:00:17.432409,236,0.0137336442,
2024-12-2 18:00:18.432234,237,0.0137495481,
2024-12-2 18:00:19.453769,238,0.0209202489,
2024-12-2 18:00:20.455327,239,0.0226375941,
2024-12-2 18:00:21.554725,240,0.0137489506,
2024-12-2 18:00:22.569672,241,0.0212436658,
2024-12-2 18:00:23.578950,242,0.0232346612,
2024-12-2 18:00:24.571813,243,0.0246696514,
2024-12-2 18:00:25.571043,244,0.0232518608,
2024-12-2 18:00:26.477251,245,0.023340035,
2024-12-2 18:00:27.478866,246,0.023010691,
2024-12-2 18:00:28.478852,247,0.0233521717,
2024-12-2 18:00:29.495096,248,0.0260756474,
2024-12-2 18:00:30.478753,249,0.0233460928,
2024-12-2 18:00:31.497532,250,0.028976633,
2024-12-2 18:00:32.495009,251,0.0290835282,
2024-12-2 18:00:33.499262,252,0.029186205,
2024-12-2 18:00:34.573991,253,0.0290695078,
2024-12-2 18:00:35.592456,254,0.0291179915,
2024-12-2 18:00:36.619733,255,0.0285174319,
2024-12-2 18:00:37.616680,256,0.0319691059,
2024-12-2 18:00:38.619498,257,0.0335878917,
2024-12-2 18:00:39.578535,258,0.0341888268,
2024-12-2 18:00:40.533749,259,0.0291014613,
2024-12-2 18:00:41.535097,260,0.0245250465,
2024-12-2 18:00:42.536392,261,0.0290740446,
2024-12-2 18:00:43.556631,262,0.0342892738,
2024-12-2 18:00:44.555700,263,0.192747743,
2024-12-2 18:00:45.552415,264,0.0603046573,
2024-12-2 18:00:46.554713,265,0.0558912486,
2024-12-2 18:00:47.555333,266,0.0548268893,
2024-12-2 18:00:48.667496,267,0.0307115685,
2024-12-2 18:00:49.676984,268,0.0362753719,
2024-12-2 18:00:50.672563,269,0.0544601497,
2024-12-2 18:00:51.689103,270,0.0630717096,
2024-12-2 18:00:52.691790,271,0.052997062,
2024-12-2 18:00:53.592882,272,0.0458494388,
2024-12-2 18:00:54.586941,273,0.0373986197,
2024-12-2 18:00:55.597091,274,0.0291003788,
2024-12-2 18:00:56.592154,275,0.0288344621,
2024-12-2 18:00:57.610269,276,0.0291205973,
2024-12-2 18:00:58.608465,277,0.0137460371,
2024-12-2 18:00:59.612393,278,0.0137419911,
2024-12-2 18:01:00.616907,279,0.0137404445,
2024-12-2 18:01:01.695893,280,0.0137411073,
2024-12-2 18:01:02.734907,281,0.0195482248,
2024-12-2 18:01:03.748220,282,0.0137378448,
2024-12-2 18:01:04.752977,283,0.0157890392,
2024-12-2 18:01:05.750110,284,0.0137517935,
2024-12-2 18:01:06.712558,285,0.0168698635,
2024-12-2 18:01:07.652894,286,0.0137395702,
2024-12-2 18:01:08.650487,287,0.0176874778,
2024-12-2 18:01:09.645627,288,0.0137668747,
2024-12-2 18:01:10.674736,289,0.0137496791,
2024-12-2 18:01:11.672285,290,0.0137522594,
2024-12-2 18:01:12.672783,291,0.0164687988,
2024-12-2 18:01:13.668574,292,0.0164607879,
2024-12-2 18:01:14.673450,293,0.0137564642,
2024-12-2 18:01:15.790808,294,0.0137391374,
2024-12-2 18:01:16.793677,295,0.0229430216,
2024-12-2 18:01:17.792721,296,0.0165291599,
2024-12-2 18:01:18.815697,297,0.0137286633,
2024-12-2 18:01:19.814389,298,0.0137510955,
2024-12-2 18:01:20.709748,299,0.0137367752,
2024-12-2 18:01:21.709707,300,0.0137471861,
2024-12-2 18:01:22.726811,301,0.016731297,
2024-12-2 18:01:23.752864,302,0.0137401127,
2024-12-2 18:01:24.754596,303,0.0137593886,
2024-12-2 18:01:25.753182,304,0.0137703797,
2024-12-2 18:01:26.765611,305,0.0137464716,
2024-12-2 18:01:27.769063,306,0.0137611673,
2024-12-2 18:01:28.824552,307,0.0137589866,
2024-12-2 18:01:29.892908,308,0.0137482074,
2024-12-2 18:01:30.896773,309,0.0137672859,
2024-12-2 18:01:31.910356,310,0.0137331522,
2024-12-2 18:01:32.905761,311,0.013735857,
2024-12-2 18:01:33.896553,312,0.0137227898,
2024-12-2 18:01:34.806600,313,0.0137422163,
2024-12-2 18:01:35.815514,314,0.0137747172,
2024-12-2 18:01:36.812303,315,0.0170226463,
2024-12-2 18:01:37.825042,316,0.0137330821,
2024-12-2 18:01:38.830660,317,0.013730067,
2024-12-2 18:01:39.828067,318,0.013733422,
2024-12-2 18:01:40.834174,319,0.0170733716,
2024-12-2 18:01:41.829420,320,0.0171271372,
2024-12-2 18:01:42.947160,321,0.0137473159,
2024-12-2 18:01:43.951720,322,0.0137311452,
2024-12-2 18:01:44.946770,323,0.0187078268,
2024-12-2 18:01:45.973663,324,0.0139513068,
2024-12-2 18:01:46.972182,325,0.0137751067,
2024-12-2 18:01:47.875882,326,0.0137144839,
2024-12-2 18:01:48.872603,327,0.0137443547,
2024-12-2 18:01:49.891680,328,0.0137102447,
2024-12-2 18:01:50.886819,329,0.0173045672,
2024-12-2 18:01:51.886711,330,0.0137314967,
2024-12-2 18:01:52.890792,331,0.0137161298,
2024-12-2 18:01:53.886784,332,0.0137159015,
2024-12-2 18:01:54.891233,333,0.0158738294,
2024-12-2 18:01:55.930017,334,0.0184970254,
2024-12-2 18:01:57.005745,335,0.0137691686,
2024-12-2 18:01:58.009670,336,0.0137462686,
2024-12-2 18:01:59.031721,337,0.0248086077,
2024-12-2 18:02:00.027366,338,0.0174923151,
2024-12-2 18:02:01.030184,339,0.0137304334,
2024-12-2 18:02:01.932895,340,0.0137415763,
2024-12-2 18:02:02.928989,341,0.0137298148,
2024-12-2 18:02:03.951591,342,0.013749989,
2024-12-2 18:02:04.948338,343,0.0196118329,
2024-12-2 18:02:05.963907,344,0.0137262874,
2024-12-2 18:02:06.967712,345,0.0137750897,
2024-12-2 18:02:07.988979,346,0.0137372818,
2024-12-2 18:02:08.985353,347,0.0177709812,
2024-12-2 18:02:10.088504,348,0.0137316696,
2024-12-2 18:02:11.084895,349,0.013730165,
2024-12-2 18:02:12.090226,350,0.0137301132,
2024-12-2 18:02:13.089662,351,0.0204995385,
2024-12-2 18:02:14.105456,352,0.0178838298,
2024-12-2 18:02:15.033186,353,0.0137809712,
2024-12-2 18:02:16.025177,354,0.0137380444,
2024-12-2 18:02:17.024643,355,0.0137507353,
2024-12-2 18:02:18.025426,356,0.0137574016,
2024-12-2 18:02:19.024945,357,0.019699916,
2024-12-2 18:02:20.027283,358,0.0179855081,
2024-12-2 18:02:21.046669,359,0.0137479704,
2024-12-2 18:02:22.048885,360,0.013746635,
2024-12-2 18:02:23.045943,361,0.0152525142,
2024-12-2 18:02:24.164235,362,0.015400767,
2024-12-2 18:02:25.170329,363,0.0229415146,
